date,venue,toss_winner,winner,team1,team2
2025-07-20,Singapore National Cricket Ground,Singapore,Hong Kong,Hong Kong,Singapore
2025-07-20,"""Gahanga International Cricket Stadium",Rwanda,Bahrain,Rwanda,Bahrain
2025-07-20,"""Shere Bangla National Stadium",Bangladesh,Bangladesh,Pakistan,Bangladesh
2025-07-20,Harare Sports Club,South Africa,South Africa,Zimbabwe,South Africa
2025-07-20,"""Sabina Park",Australia,Australia,West Indies,Australia
2025-07-21,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Kenya
2025-07-21,"""West End Park International Cricket Stadium",Qatar,Qatar,Saudi Arabia,Qatar
2025-07-21,Entebbe Cricket Oval,Nigeria,United Arab Emirates,Nigeria,United Arab Emirates
2025-07-22,"""Gahanga International Cricket Stadium",Malawi,Rwanda,Malawi,Rwanda
2025-07-22,"""Gahanga International Cricket Stadium",Rwanda,Bahrain,Bahrain,Rwanda
2025-07-22,"""West End Park International Cricket Stadium",Saudi Arabia,Qatar,Qatar,Saudi Arabia
2025-07-22,"""Sabina Park",Australia,Australia,West Indies,Australia
2025-07-22,Singapore National Cricket Ground,Malaysia,Malaysia,Hong Kong,Malaysia
2025-07-22,Singapore National Cricket Ground,Samoa,Singapore,Samoa,Singapore
2025-07-22,"""Shere Bangla National Stadium",Pakistan,Bangladesh,Bangladesh,Pakistan
2025-07-22,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Nigeria
2025-07-22,Harare Sports Club,New Zealand,New Zealand,South Africa,New Zealand
2025-07-23,"""Gahanga International Cricket Stadium",Malawi,Malawi,Rwanda,Malawi
2025-07-23,"""Gahanga International Cricket Stadium",Bahrain,Bahrain,Bahrain,Malawi
2025-07-23,Entebbe Cricket Oval,Kenya,United Arab Emirates,Kenya,United Arab Emirates
2025-07-23,Singapore National Cricket Ground,Singapore,Malaysia,Malaysia,Singapore
2025-07-23,Singapore National Cricket Ground,Hong Kong,Hong Kong,Samoa,Hong Kong
2025-07-24,"""Shere Bangla National Stadium",Bangladesh,Pakistan,Pakistan,Bangladesh
2025-07-24,Singapore National Cricket Ground,Hong Kong,Hong Kong,Hong Kong,Singapore
2025-07-24,Singapore National Cricket Ground,Malaysia,Malaysia,Samoa,Malaysia
2025-07-24,Harare Sports Club,New Zealand,New Zealand,New Zealand,Zimbabwe
2025-07-25,"""Gahanga International Cricket Stadium",Rwanda,Bahrain,Bahrain,Rwanda
2025-07-25,"""Warner Park",Australia,Australia,West Indies,Australia
2025-07-25,Entebbe Cricket Oval,Uganda,Uganda,Kenya,Uganda
2025-07-25,"""Gahanga International Cricket Stadium",Malawi,Bahrain,Malawi,Bahrain
2025-07-25,"""GB Oval",Hungary,Hungary,Hungary,Luxembourg
2025-07-25,"""GB Oval",Hungary,Romania,Hungary,Romania
2025-07-25,"""GB Oval",Romania,Austria,Romania,Austria
2025-07-26,"""Warner Park",Australia,Australia,West Indies,Australia
2025-07-26,"""Gahanga International Cricket Stadium",Malawi,Malawi,Rwanda,Malawi
2025-07-26,Harare Sports Club,South Africa,New Zealand,New Zealand,South Africa
2025-07-26,"""GB Oval",Luxembourg,Romania,Romania,Luxembourg
2025-07-26,Singapore National Cricket Ground,Malaysia,Malaysia,Hong Kong,Malaysia
2025-07-26,"""GB Oval",Austria,Austria,Hungary,Austria
2025-07-26,Entebbe Cricket Oval,United Arab Emirates,United Arab Emirates,United Arab Emirates,Nigeria
2025-07-26,Estonian National Cricket and Rugby Field,Finland,Estonia,Finland,Estonia
2025-07-26,"""GB Oval",Austria,Austria,Austria,Luxembourg
2025-07-27,"""Gahanga International Cricket Stadium",Malawi,Bahrain,Bahrain,Malawi
2025-07-27,"""GB Oval",Luxembourg,Hungary,Hungary,Luxembourg
2025-07-27,Estonian National Cricket and Rugby Field,Finland,Finland,Estonia,Finland
2025-07-27,Entebbe Cricket Oval,Nigeria,Kenya,Nigeria,Kenya
2025-07-27,Entebbe Cricket Oval,Uganda,Uganda,Uganda,United Arab Emirates
2025-07-28,"""Warner Park",Australia,Australia,West Indies,Australia
2025-07-31,"""Central Broward Regional Park Stadium Turf Ground",West Indies,Pakistan,Pakistan,West Indies
2025-08-02,Estonian National Cricket and Rugby Field,Switzerland,Switzerland,Switzerland,Estonia
2025-08-02,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,West Indies,Pakistan,West Indies
2025-08-03,Estonian National Cricket and Rugby Field,Switzerland,Switzerland,Switzerland,Estonia
2025-08-03,Estonian National Cricket and Rugby Field,Switzerland,Switzerland,Switzerland,Estonia
2025-08-03,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,Pakistan,Pakistan,West Indies
2025-08-07,"""Mladost Cricket Ground",Croatia,Cyprus,Cyprus,Croatia
2025-08-07,"""Mladost Cricket Ground",Croatia,Cyprus,Croatia,Cyprus
2025-08-08,"""Mladost Cricket Ground",Croatia,Cyprus,Croatia,Cyprus
2025-08-08,"""Botkyrka Cricket Center",Sweden,Austria,Sweden,Austria
2025-08-08,"""Botkyrka Cricket Center",France,Norway,Norway,France
2025-08-08,"""Mladost Cricket Ground",Cyprus,Cyprus,Cyprus,Croatia
2025-08-09,"""Botkyrka Cricket Center",Norway,Norway,Norway,Sweden
2025-08-09,"""Botkyrka Cricket Center",France,Austria,France,Austria
2025-08-10,"""Marrara Stadium",South Africa,Australia,Australia,South Africa
2025-08-10,"""Botkyrka Cricket Center",Sweden,France,Sweden,France
2025-08-10,"""Botkyrka Cricket Center",Austria,Austria,Norway,Austria
2025-08-12,"""Marrara Stadium",Australia,South Africa,South Africa,Australia
2025-08-14,"""King George V Sports Ground",Papua New Guinea,Papua New Guinea,Guernsey,Papua New Guinea
2025-08-16,"""Cazaly's Stadium",Australia,Australia,South Africa,Australia
2025-08-17,"""Stubberudmyra Cricket Ground",Norway,Norway,Norway,Hungary
2025-08-17,"""Stubberudmyra Cricket Ground",Hungary,Sweden,Sweden,Hungary
2025-08-17,"""Stubberudmyra Cricket Ground",Sweden,Norway,Sweden,Norway
2025-08-21,"""Moara Vlasiei Cricket Ground",Romania,Romania,Romania,Czech Republic
2025-08-21,"""Moara Vlasiei Cricket Ground",Romania,Czech Republic,Czech Republic,Romania
2025-08-22,"""Moara Vlasiei Cricket Ground",Romania,Czech Republic,Romania,Czech Republic
2025-08-22,"""Moara Vlasiei Cricket Ground",Czech Republic,Romania,Romania,Czech Republic
2025-08-23,"""Velden Cricket Ground",Austria,Austria,Austria,Belgium
2025-08-23,"""Velden Cricket Ground",Austria,Austria,Belgium,Austria
2025-08-24,"""Velden Cricket Ground",Austria,Austria,Belgium,Austria
2025-08-24,"""Velden Cricket Ground",Belgium,Austria,Belgium,Austria
2025-08-30,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,United Arab Emirates
2025-08-30,Sylhet International Cricket Stadium,Bangladesh,Bangladesh,Netherlands,Bangladesh
2025-09-01,Sylhet International Cricket Stadium,Bangladesh,Bangladesh,Netherlands,Bangladesh
2025-09-03,Harare Sports Club,Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka
2025-09-04,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,United Arab Emirates
2025-09-06,Harare Sports Club,Zimbabwe,Zimbabwe,Sri Lanka,Zimbabwe
2025-09-07,Harare Sports Club,Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka
2025-09-10,Dubai International Cricket Stadium,India,India,United Arab Emirates,India
2025-09-10,"""Sophia Gardens",England,South Africa,South Africa,England
2025-09-11,"""Zayed Cricket Stadium",Bangladesh,Bangladesh,Hong Kong,Bangladesh
2025-09-12,Malkerns Country Club oval,Eswatini,Eswatini,Eswatini,Mozambique
2025-09-12,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Oman
2025-09-12,"""Old Trafford",South Africa,England,England,South Africa
2025-09-12,Malkerns Country Club oval,Eswatini,Eswatini,Eswatini,Mozambique
2025-09-13,Malkerns Country Club oval,Eswatini,Eswatini,Eswatini,Mozambique
2025-09-13,"""Zayed Cricket Stadium",Sri Lanka,Sri Lanka,Bangladesh,Sri Lanka
2025-09-14,Dubai International Cricket Stadium,Pakistan,India,Pakistan,India
2025-09-15,"""Zayed Cricket Stadium",Oman,United Arab Emirates,United Arab Emirates,Oman
2025-09-15,"""Queens Sports Club",Namibia,Zimbabwe,Zimbabwe,Namibia
2025-09-15,Dubai International Cricket Stadium,Sri Lanka,Sri Lanka,Hong Kong,Sri Lanka
2025-09-16,"""Queens Sports Club",Zimbabwe,Zimbabwe,Namibia,Zimbabwe
2025-09-17,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,Pakistan,United Arab Emirates
2025-09-17,"""The Village",England,England,Ireland,England
2025-09-18,"""Queens Sports Club",Namibia,Namibia,Namibia,Zimbabwe
2025-09-19,"""Zayed Cricket Stadium",India,India,India,Oman
2025-09-20,Dubai International Cricket Stadium,Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2025-09-21,Dubai International Cricket Stadium,India,India,Pakistan,India
2025-09-21,"""The Village",England,England,Ireland,England
2025-09-23,"""Zayed Cricket Stadium",Pakistan,Pakistan,Sri Lanka,Pakistan
2025-09-24,Dubai International Cricket Stadium,Bangladesh,India,India,Bangladesh
2025-09-25,Dubai International Cricket Stadium,Bangladesh,Pakistan,Pakistan,Bangladesh
2025-09-26,Harare Sports Club,Uganda,Zimbabwe,Uganda,Zimbabwe
2025-09-26,"""Takashinga Sports Club",Botswana,Tanzania,Botswana,Tanzania
2025-09-26,Harare Sports Club,Kenya,Namibia,Namibia,Kenya
2025-09-26,"""Takashinga Sports Club",Nigeria,Nigeria,Malawi,Nigeria
2025-09-27,Sharjah Cricket Stadium,West Indies,Nepal,Nepal,West Indies
2025-09-28,Harare Sports Club,Nigeria,Namibia,Namibia,Nigeria
2025-09-28,Dubai International Cricket Stadium,India,India,Pakistan,India
2025-09-28,"""Takashinga Sports Club",Malawi,Malawi,Malawi,Kenya
2025-09-28,Harare Sports Club,Botswana,Zimbabwe,Zimbabwe,Botswana
2025-09-28,"""Takashinga Sports Club",Uganda,Tanzania,Tanzania,Uganda
2025-09-29,Sharjah Cricket Stadium,Nepal,Nepal,Nepal,West Indies
2025-09-29,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Kuwait,Oman
2025-09-30,"""Takashinga Sports Club",Uganda,Uganda,Botswana,Uganda
2025-09-30,"""Takashinga Sports Club",Nigeria,Kenya,Nigeria,Kenya
2025-09-30,Sharjah Cricket Stadium,West Indies,West Indies,Nepal,West Indies
2025-09-30,Harare Sports Club,Malawi,Namibia,Malawi,Namibia
2025-09-30,Harare Sports Club,Tanzania,Zimbabwe,Zimbabwe,Tanzania
2025-10-01,"""Bay Oval",Australia,Australia,New Zealand,Australia
2025-10-02,Harare Sports Club,Tanzania,Namibia,Namibia,Tanzania
2025-10-02,"""Takashinga Sports Club",Nigeria,Nigeria,Nigeria,Botswana
2025-10-02,Harare Sports Club,Kenya,Zimbabwe,Kenya,Zimbabwe
2025-10-02,"""Takashinga Sports Club",Uganda,Uganda,Uganda,Malawi
2025-10-04,"""Takashinga Sports Club",Uganda,Uganda,Uganda,Nigeria
2025-10-04,Harare Sports Club,Zimbabwe,Zimbabwe,Namibia,Zimbabwe
2025-10-04,"""Bay Oval",Australia,Australia,New Zealand,Australia
2025-10-04,"""Takashinga Sports Club",Malawi,Malawi,Malawi,Botswana
2025-10-04,Harare Sports Club,Tanzania,Kenya,Kenya,Tanzania
2025-10-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Oman,Samoa,Oman
2025-10-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,United Arab Emirates,Qatar,United Arab Emirates
2025-10-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Nepal,Nepal,Kuwait
2025-10-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,Qatar,Malaysia,Qatar
2025-10-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Japan,Japan,Kuwait,Japan
2025-10-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Samoa,Papua New Guinea,Samoa
2025-10-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,United Arab Emirates,Malaysia,United Arab Emirates
2025-10-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Japan,Nepal
2025-10-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Oman,Oman,Papua New Guinea
2025-10-11,"""Namibia Cricket Ground",South Africa,Namibia,South Africa,Namibia
2025-10-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Samoa,Japan,Japan,Samoa
2025-10-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,Oman,Oman,Qatar
2025-10-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,United Arab Emirates
2025-10-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,Nepal,Nepal,Qatar
2025-10-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Oman,United Arab Emirates,Oman
2025-10-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,Oman
2025-10-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Samoa,United Arab Emirates,United Arab Emirates,Samoa
2025-10-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,Qatar,Japan,Qatar
2025-10-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,Japan,United Arab Emirates
2025-10-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,Qatar,Samoa,Qatar
2025-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Samoa,Nepal,Nepal,Samoa
2025-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Oman,Japan,Oman
2025-10-18,"""Moara Vlasiei Cricket Ground",Austria,Austria,Romania,Austria
2025-10-18,"""Moara Vlasiei Cricket Ground",Austria,Romania,Austria,Romania
2025-10-19,"""Moara Vlasiei Cricket Ground",Austria,Austria,Romania,Austria
2025-10-19,"""Moara Vlasiei Cricket Ground",Romania,Austria,Austria,Romania
2025-10-20,"""Hagley Oval",New Zealand,England,England,New Zealand
2025-10-27,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",West Indies,West Indies,West Indies,Bangladesh
2025-10-28,Rawalpindi Cricket Stadium,Pakistan,South Africa,South Africa,Pakistan
2025-10-29,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",West Indies,West Indies,West Indies,Bangladesh
2025-10-31,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",Bangladesh,West Indies,Bangladesh,West Indies
2025-10-31,Melbourne Cricket Ground,Australia,Australia,India,Australia
2025-10-31,Happy Valley Ground 2,Cyprus,Cyprus,Cyprus,Serbia
2025-10-31,"""Gaddafi Stadium",Pakistan,Pakistan,South Africa,Pakistan
2025-10-31,Happy Valley Ground,Cyprus,Cyprus,Cyprus,Serbia
2025-11-01,Happy Valley Ground 2,Bulgaria,Bulgaria,Serbia,Bulgaria
2025-11-01,Happy Valley Ground 2,Serbia,Bulgaria,Bulgaria,Serbia
2025-11-01,"""Gaddafi Stadium",Pakistan,Pakistan,South Africa,Pakistan
2025-11-02,Happy Valley Ground 2,Bulgaria,Cyprus,Cyprus,Bulgaria
2025-11-02,"""Bellerive Oval",India,India,Australia,India
2025-11-02,Happy Valley Ground 2,Cyprus,Cyprus,Bulgaria,Cyprus
2025-11-03,Happy Valley Ground 2,Bulgaria,Cyprus,Bulgaria,Cyprus
2025-11-03,Happy Valley Ground 2,Bulgaria,Cyprus,Bulgaria,Cyprus
2025-11-05,"""Eden Park",New Zealand,West Indies,West Indies,New Zealand
2025-11-06,"""Eden Park",West Indies,New Zealand,New Zealand,West Indies
2025-11-06,Udayana Cricket Ground,Myanmar,Indonesia,Myanmar,Indonesia
2025-11-06,Udayana Cricket Ground,Timor-Leste,Indonesia,Timor-Leste,Indonesia
2025-11-06,Carrara Oval,Australia,India,India,Australia
2025-11-07,Udayana Cricket Ground,Timor-Leste,Myanmar,Timor-Leste,Myanmar
2025-11-08,Udayana Cricket Ground,Indonesia,Indonesia,Timor-Leste,Indonesia
2025-11-08,Udayana Cricket Ground,Indonesia,Indonesia,Indonesia,Myanmar
2025-11-09,Udayana Cricket Ground,Timor-Leste,Myanmar,Timor-Leste,Myanmar
2025-11-09,"""Saxton Oval",New Zealand,New Zealand,New Zealand,West Indies
2025-11-11,Udayana Cricket Ground,Indonesia,Indonesia,Myanmar,Indonesia
2025-11-11,Udayana Cricket Ground,Timor-Leste,Indonesia,Timor-Leste,Indonesia
2025-11-12,"""West End Park International Cricket Stadium",Qatar,Qatar,Qatar,Hong Kong
2025-11-12,Udayana Cricket Ground,Myanmar,Myanmar,Myanmar,Timor-Leste
2025-11-13,Udayana Cricket Ground,Indonesia,Indonesia,Timor-Leste,Indonesia
2025-11-13,Udayana Cricket Ground,Myanmar,Indonesia,Myanmar,Indonesia
2025-11-13,University of Doha for Science and Technology,Qatar,Hong Kong,Hong Kong,Qatar
2025-11-13,"""University Oval",New Zealand,New Zealand,West Indies,New Zealand
2025-11-14,Udayana Cricket Ground,Myanmar,Myanmar,Myanmar,Timor-Leste
2025-11-16,"""West End Park International Cricket Stadium",United Arab Emirates,Oman,United Arab Emirates,Oman
2025-11-18,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Zimbabwe,Pakistan
2025-11-18,Udayana Cricket Ground,Indonesia,Bahrain,Bahrain,Indonesia
2025-11-19,Udayana Cricket Ground,Indonesia,Bahrain,Bahrain,Indonesia
2025-11-20,Rawalpindi Cricket Stadium,Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka
2025-11-21,Udayana Cricket Ground,Bahrain,Bahrain,Indonesia,Bahrain
2025-11-22,Rawalpindi Cricket Stadium,Sri Lanka,Pakistan,Sri Lanka,Pakistan
2025-11-23,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Pakistan,Zimbabwe
2025-11-25,"""Bayuemas Oval",Malaysia,Malaysia,Bahrain,Malaysia
2025-11-25,Rawalpindi Cricket Stadium,Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka
2025-11-27,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",Bangladesh,Ireland,Ireland,Bangladesh
2025-11-27,Rawalpindi Cricket Stadium,Pakistan,Sri Lanka,Sri Lanka,Pakistan
2025-11-28,"""St Albans Club",Brazil,Argentina,Brazil,Argentina
2025-11-29,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan
2025-11-29,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",Ireland,Bangladesh,Ireland,Bangladesh
2025-11-30,"""St Albans Club",Brazil,Argentina,Argentina,Brazil
2025-11-30,"""Bayuemas Oval",Bahrain,Bahrain,Thailand,Bahrain
2025-12-02,"""Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium",Ireland,Bangladesh,Ireland,Bangladesh
2025-12-04,"""Nigeria Cricket Federation Oval 1",Rwanda,Rwanda,Sierra Leone,Rwanda
2025-12-04,"""Nigeria Cricket Federation Oval 1",Zambia,Nigeria,Nigeria,Zambia
2025-12-05,La Manga Club Top Ground,Croatia,Spain,Croatia,Spain
2025-12-05,"""Nigeria Cricket Federation Oval 1",Rwanda,Rwanda,Zambia,Rwanda
2025-12-05,"""Nigeria Cricket Federation Oval 1",Nigeria,Nigeria,Nigeria,Sierra Leone
2025-12-06,"""Nigeria Cricket Federation Oval 1",Zambia,Zambia,Zambia,Sierra Leone
2025-12-06,La Manga Club Top Ground,Spain,Spain,Croatia,Spain
2025-12-06,La Manga Club Top Ground,Spain,Spain,Spain,Croatia
2025-12-06,"""Nigeria Cricket Federation Oval 1",Rwanda,Nigeria,Nigeria,Rwanda
2025-12-07,"""Nigeria Cricket Federation Oval 1",Zambia,Rwanda,Zambia,Rwanda
2025-12-07,La Manga Club Top Ground,Spain,Spain,Croatia,Spain
2025-12-07,La Manga Club Top Ground,Spain,Spain,Spain,Croatia
2025-12-07,"""Nigeria Cricket Federation Oval 1",Nigeria,Nigeria,Sierra Leone,Nigeria
2025-12-08,"""Nigeria Cricket Federation Oval 1",Zambia,Nigeria,Nigeria,Zambia
2025-12-08,"""Nigeria Cricket Federation Oval 1",Sierra Leone,Rwanda,Rwanda,Sierra Leone
2025-12-09,"""Barabati Stadium",South Africa,India,India,South Africa
2025-12-09,"""Terdthai Cricket Ground",Indonesia,Indonesia,Thailand,Indonesia
2025-12-09,"""Nigeria Cricket Federation Oval 1",Sierra Leone,Zambia,Sierra Leone,Zambia
2025-12-09,"""Nigeria Cricket Federation Oval 1",Nigeria,Rwanda,Rwanda,Nigeria
2025-12-09,Gelephu International Cricket Ground,Bhutan,Bahrain,Bahrain,Bhutan
2025-12-09,"""Terdthai Cricket Ground",Philippines,Malaysia,Malaysia,Philippines
2025-12-10,"""Terdthai Cricket Ground",Philippines,Philippines,Philippines,Singapore
2025-12-10,"""Terdthai Cricket Ground",Malaysia,Malaysia,Indonesia,Malaysia
2025-12-11,Gelephu International Cricket Ground,Bhutan,Bahrain,Bahrain,Bhutan
2025-12-11,"""Nigeria Cricket Federation Oval 1",Rwanda,Zambia,Zambia,Rwanda
2025-12-11,"""Maharaja Yadavindra Singh International Cricket Stadium",India,South Africa,South Africa,India
2025-12-11,"""Nigeria Cricket Federation Oval 1",Nigeria,Nigeria,Nigeria,Sierra Leone
2025-12-11,"""Terdthai Cricket Ground",Philippines,Philippines,Philippines,Indonesia
2025-12-11,"""Terdthai Cricket Ground",Thailand,Singapore,Singapore,Thailand
2025-12-12,"""Terdthai Cricket Ground",Malaysia,Malaysia,Thailand,Malaysia
2025-12-12,"""Terdthai Cricket Ground",Singapore,Singapore,Indonesia,Singapore
2025-12-12,"""Nigeria Cricket Federation Oval 1",Rwanda,Rwanda,Rwanda,Sierra Leone
2025-12-12,"""Nigeria Cricket Federation Oval 1",Nigeria,Nigeria,Nigeria,Zambia
2025-12-12,Gelephu International Cricket Ground,Bhutan,Bahrain,Bahrain,Bhutan
2025-12-13,"""Nigeria Cricket Federation Oval 1",Zambia,Sierra Leone,Zambia,Sierra Leone
2025-12-13,"""Nigeria Cricket Federation Oval 1",Nigeria,Nigeria,Nigeria,Rwanda
2025-12-13,"""Terdthai Cricket Ground",Philippines,Philippines,Thailand,Philippines
2025-12-13,"""Terdthai Cricket Ground",Singapore,Malaysia,Singapore,Malaysia
2025-12-13,Gelephu International Cricket Ground,Bahrain,Bahrain,Bhutan,Bahrain
2025-12-14,"""Nigeria Cricket Federation Oval 1",Sierra Leone,Zambia,Zambia,Sierra Leone
2025-12-14,"""Himachal Pradesh Cricket Association Stadium",India,India,South Africa,India
